record_id,raw_scientific_name,normalized_scientific_name,raw_synonym,raw_family,normalized_family,canonical_scientific_name,canonical_family,reconciliation_status,confidence,source_page_url,scrape_timestamp
78a98907902a17a0,Diospyros malabarica(desr.) Kostel.,diospyros malabarica(desr.) kostel.,Diospyros peregrina(Gaertn.) Girke Diospyros citrifolia Wall. ex A.DC. Diospyros biflora Blanco Em,Ebenaceaea,ebenaceaea,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
a364f35d8943c7df,Cydonia oblonga Mill.,cydonia oblonga mill.,Cydonia communis Loisel. Cydonia vulgaris Pers. Pyrus cydonia L. Sorbus cydonia Crantz,Rosaceae,rosaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
1cc88031ed0200af,Prunus amygdalus Stokes,prunus amygdalus stokes,,Rosaceae,rosaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=3,2026-09-22T15:44:31.936080+00:00
60842e31df9ae041,Acacia nilotica (L.) Delile subsp. INDICA(Benth) Brenan,acacia nilotica (l.) delile subsp. indica(benth) brenan,Acacia arabica var. indica Benth. Acacia nilotica var. indica (Benth.)A.F.Hill,Mimosaceae,mimosaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=4,2026-09-22T15:44:33.460338+00:00
d71ab5000f4acd71,Entada phaseoloides (L.) Merr.,entada phaseoloides (l.) merr.,"Acacia scandens (L.) Willd. Entada scandens (L.) ""Benth. p.p."" Lens phaseoloides L. Pusaetha sca",Mimosaceae,mimosaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=4,2026-09-22T15:44:33.460338+00:00
3c12883e399aa752,Mimosa pudica L.,mimosa pudica l.,Mimosa hispidula Kunth Mimosa pudica var. pudica,Mimosaceae,mimosaceae,,,POTENTIAL_DUPLICATE,MEDIUM,https://mpbd.cu.ac.bd/plants.php?pageno=4,2026-09-22T15:44:33.460338+00:00
0800dd319ae127f5,Saraca asoca (Roxb.) Wild.,saraca asoca (roxb.) wild.,"Jonesia asoca Roxb. Jonesia confusa Hassk. Jonesia pinnata Willd. Saraca indica""sensu Bedd. non",Caesalpiniaceae,caesalpiniaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=4,2026-09-22T15:44:33.460338+00:00
219cb516b504297e,Clitoria ternatea L.,clitoria ternatea l.,Clitoria albiflora Mattei Clitoria philippensis Perr. Nauchea ternatea (L.)Descourt. Ternatea te,Fabaceae,fabaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=4,2026-09-22T15:44:33.460338+00:00
9a7a0589bb283dca,Glycyrrhiza glabra L.,glycyrrhiza glabra l.,Glycyrrhiza glandulifera Waldst. & Kit. Glycyrrhiza hirsuta Pall. Glycyrrhiza pallida Boiss.& Noe,Fabaceae,fabaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=4,2026-09-22T15:44:33.460338+00:00
2a18d0d13f19f6b6,Mucuna pruriens (L.) DC.,mucuna pruriens (l.) dc.,Carpopogon pruriens (L.) Roxb. Dolichos pruriens L. Mucuna prurita (L.)Hook. Stizolobium pruritu,Fabaceae,fabaceae,,,POTENTIAL_DUPLICATE,MEDIUM,https://mpbd.cu.ac.bd/plants.php?pageno=4,2026-09-22T15:44:33.460338+00:00
0515374bee611db4,Pterocarpus SANTALINUS L. f.,pterocarpus santalinus l. f.,Lingoum santalinum (L.f.) Kuntze,Fabaceae,fabaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=4,2026-09-22T15:44:33.460338+00:00
588d2252255900a2,Sesbania bispinosa (Jacq.) W.Wight,sesbania bispinosa (jacq.) w.wight,Sesbania aculeata (Willd.) Pers. Aeschynomene aculeata Schreb. Aeschynomene bispinosa Jacq. Aesc,Fabaceae,fabaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=4,2026-09-22T15:44:33.460338+00:00
e953fa03766c3ae1,Sesbania grandiflora (L.) Poir,sesbania grandiflora (l.) poir,: Aeschynomene grandiflora (L.) L. Agati grandiflora (L.)Desv. Coronilla grandiflora (L.)Willd.,Fabaceae,fabaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=4,2026-09-22T15:44:33.460338+00:00
a262ba4b5600a1c3,Sesbania sesban (L.) Merr.,sesbania sesban (l.) merr.,Aeschynomene sesban L. Coronilla sesban Willd. Emerus sesban (L.) Kuntze Sesbania aegyptiaca Poir,Fabaceae,fabaceae,,,POTENTIAL_DUPLICATE,MEDIUM,https://mpbd.cu.ac.bd/plants.php?pageno=5,2026-09-22T15:44:34.993453+00:00
ce62ab0f03e0a036,Trigonella foenum-graeceum L.,trigonella foenum-graeceum l.,Trigonella tibetana (Alef.) Vassilcz.,Fabaceae,fabaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=5,2026-09-22T15:44:34.993453+00:00
cd85f4bf6ea4389c,Lagerstroemia speciosa(l.) Pers.,lagerstroemia speciosa(l.) pers.,Lagerstroemia reginea Roxb. Adambea hirsuta Lam. Lagerstroemia hirsuta (Lam.) Willd. Munchausia s,Lythraceae,lythraceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=5,2026-09-22T15:44:34.993453+00:00
d9d9afcb1b162b40,Eucalyptus globulus Labill,eucalyptus globulus labill,Eucalyptus glauca A.Cunn.ex DC. Eucalyptus perfoliata Desf.,Myrtaceae,myrtaceae,,,NORMALIZED_ONLY,HIGH,https://mpbd.cu.ac.bd/plants.php?pageno=5,2026-09-22T15:44:34.993453+00:00
