raw_family,normalized_family,occurrence_count,variant_count,normalization_type,review_required,notes
Solanaceae,solanaceae,14,1,CASE_ONLY,FALSE,
Solanacee,solanacee,2,1,CASE_ONLY,FALSE,
Solanceae,solanceae,2,1,CASE_ONLY,FALSE,
Sonneratiaceae,sonneratiaceae,1,1,CASE_ONLY,FALSE,
Sterculaceae,sterculaceae,2,1,CASE_ONLY,FALSE,
Sterculiaceae,sterculiaceae,12,1,CASE_ONLY,FALSE,
Symplocaceae,symplocaceae,1,1,CASE_ONLY,FALSE,
Taccaceae,taccaceae,1,1,CASE_ONLY,FALSE,
Tamaricaceae,tamaricaceae,1,1,CASE_ONLY,FALSE,
Tamaricaeae,tamaricaeae,1,1,CASE_ONLY,FALSE,
Theaceae,theaceae,3,1,CASE_ONLY,FALSE,
Thymelaeaceae,thymelaeaceae,2,1,CASE_ONLY,FALSE,
Tiliaceae,tiliaceae,11,1,CASE_ONLY,FALSE,
Trapaceae,trapaceae,1,1,CASE_ONLY,FALSE,
Typhaceae,typhaceae,1,1,CASE_ONLY,FALSE,
Ulmaceae,ulmaceae,1,1,CASE_ONLY,FALSE,
Urticaceae,urticaceae,10,1,CASE_ONLY,FALSE,
Urticaeae,urticaeae,1,1,CASE_ONLY,FALSE,
Verbenaceae,verbenaceae,18,1,CASE_ONLY,FALSE,
Violaceae,violaceae,2,1,CASE_ONLY,FALSE,
Vitaceae,vitaceae,12,1,CASE_ONLY,FALSE,
Vixaceae,vixaceae,1,1,CASE_ONLY,FALSE,
Zingiberaceae,zingiberaceae,22,1,CASE_ONLY,FALSE,
Zygophyllaceae,zygophyllaceae,2,1,CASE_ONLY,FALSE,
