plant_index,term_raw,term_light
92,gonorrhoea,gonorrhoea
92,hoarseness,hoarseness
92,dysentery.,dysentery
93,amenorrhoea and dysmenorrhoea,amenorrhoea and dysmenorrhoea
93,irregular menses and pain,irregular menses and pain
94,Diarrhoea,diarrhoea
94,dysentery,dysentery
94,paralysis,paralysis
94,cough,cough
94,rheumatism,rheumatism
94,skin diseases.,skin diseases
95,fevers,fevers
95,chest infections,chest infections
95,gonorrhoea and urethritis,gonorrhoea and urethritis
95,leucoderma,leucoderma
96,leucorrhoea,leucorrhoea
96,piles,piles
96,erysipelas,erysipelas
96,diarrhoea,diarrhoea
96,spongy gums,spongy gums
96,tonsil.,tonsil
97,itching,itching
97,bronchitis,bronchitis
97,leucoderma,leucoderma
97,ulcers,ulcers
97,inflammations and erysipelas,inflammations and erysipelas
97,gonorrhoea.,gonorrhoea
98,bowels,bowels
98,cough,cough
98,bronchitis,bronchitis
98,diarrhoea,diarrhoea
98,dysentery,dysentery
98,biliousness,biliousness
98,burning sensation,burning sensation
98,piles and leucoderma.,piles and leucoderma
99,stomach complaints,stomach complaints
99,indigestion,indigestion
99,bronchitis,bronchitis
99,asthma,asthma
100,Diarrhoea,diarrhoea
100,constipation,constipation
100,prurigo,prurigo
100,abscesses,abscesses
100,eczema and bubos.,eczema and bubos
101,bronchitis,bronchitis
101,pneumonia,pneumonia
101,asthma and pulmonary tuberculosis,asthma and pulmonary tuberculosis
102,rheumatism,rheumatism
102,sciatica,sciatica
102,neuralgia,neuralgia
102,uterine diseases.,uterine diseases
103,cough and asthma,cough and asthma
103,rheumatism and neuralgia,rheumatism and neuralgia
103,dyspepsia.,dyspepsia
104,coughs,coughs
104,pneumonia,pneumonia
104,rheumatism,rheumatism
104,piles,piles
104,boils,boils
104,skin eruptions,skin eruptions
104,kidney stone and colic,kidney stone and colic
105,asthma and bronchitis,asthma and bronchitis
105,toothache,toothache
105,kidney troubles,kidney troubles
105,leucoderma.,leucoderma
106,ulcers,ulcers
106,small-pox,small-pox
107,urinary disorder and diabetes,urinary disorder and diabetes
108,boils,boils
108,cholera,cholera
108,general paralysis and inflammation,general paralysis and inflammation
109,cough,cough
109,asthma,asthma
109,ague and phthisis,ague and phthisis
109,malarial fever and diphtheria.,malarial fever and diphtheria
110,bronchial disorders,bronchial disorders
110,respiratory diseases,respiratory diseases
110,irregular menstruation.,irregular menstruation
111,cough,cough
111,fever and chest affection,fever and chest affection
111,diabetes,diabetes
111,skin diseases.,skin diseases
112,dysentery,dysentery
112,ulcers,ulcers
112,erysipelas,erysipelas
112,burning sensation and epileptic fits,burning sensation and epileptic fits
113,dysentery,dysentery
113,skin diseases.,skin diseases
114,chronic diarrhoea and dysentery,chronic diarrhoea and dysentery
114,ophthalmia and inflammations,ophthalmia and inflammations
114,hypochondriasis,hypochondriasis
114,melancholia and palpitation of heart.,melancholia and palpitation of heart
115,bronchitis,bronchitis
115,leprosy,leprosy
115,skin diseases,skin diseases
115,ulcers,ulcers
115,inflammations,inflammations
115,biliousness.,biliousness
116,Boils,boils
116,skin diseases,skin diseases
116,jaundice,jaundice
116,headache,headache
116,dysentery.,dysentery
117,Fever,fever
117,piles,piles
117,rheumatism,rheumatism
117,spermatorrhoea.,spermatorrhoea
118,scabies,scabies
118,skin diseases,skin diseases
119,cures leucoderma,cures leucoderma
119,itching,itching
119,skin diseases,skin diseases
119,piles,piles
119,excessive perspiration,excessive perspiration
119,inflammation,inflammation
119,erysipelas.,erysipelas
120,ulcers,ulcers
120,coughs,coughs
121,Ulcer,ulcer
121,toothache.,toothache
122,Ascites,ascites
122,cancer.,cancer
123,cough,cough
123,catarrh,catarrh
