plant_index,site_id,detail_url,scientific_name_master,scientific_name_page,name_match,family_page,synonym_page,bangla_name,english_name,disease_raw,uses_raw,chemical_constituents_raw,habit,distribution_raw,description_raw,source_cache_file,http_status,scrape_timestamp,quality_flags
177,182,https://mpbd.cu.ac.bd/details.php?id=182,Mallotus polycarpus (Benth.) Kulju & Welzen.,Mallotus polycarpus (Benth.) Kulju & Welzen.,True,Euphorbiaceae,Trewia nudiflora  L. Trewia polycarpa  Benth. Trewia nudiflora  var. polycarpa (Benth.) Susila & N.P.Balakr,"Latim, Lattu, Medda, Bhatam, Pitali, Panigambhar, Meragota, Mera, Gotagamar (Sylhet), Bol-diktak, Bolno-khap (Garo), Hruprukban (Mogh), Chagalla-dibhangor (Chakma), Rin Moro (Marma), Pitagola (CHT).",False White Teak.,"Bile,phlegm,rheumatism,gout,flatulence,swellings.","Plant is used for the removal of bile and phlegm. Leaves and its decoction are applied to swellings and in healing of wounds and injuries. Bark is used for the treatment of enlarged thyroid. Decoction of the root is stomachic and alterative, used in flatu","Bark contains a pentacyclic triterpene ketone, tetraxerone, ?-sitosterol and nudiflorine (Rastogi & Mehrotra 1990).",Tree,"In most of the districts on river, stream and canal bank.",": A medium-sized, dioecious, deciduous tree. Leaves opposite, 15-23 cm long, ovate, cordate, acuminate, entire. Flowers dioecious, petals 0, Male flowers yellow, 7.5 mm across, in long pendulous racemes, 10-20 cm long, female flowers green, solitary or 2-3 together in common axillary peduncles about 2.5 cm long. Fruit a berry, 2.5-4.0 cm across, depressed-globose.",b0bfbbd78ad94b31c572aba7.html,200,2026-09-24T18:41:46.074004+00:00,encoding_loss_suspected
178,183,https://mpbd.cu.ac.bd/details.php?id=183,Trevesia PALMATA (Roxb. ex Lindl.) Vis.,Trevesia  PALMATA (Roxb. ex Lindl.) Vis.,True,Araliaceae,Aralia dubia  Spreng. Brassaiopsis papayoides  Hand.-Mazz. Gastonia palmata  Roxb. ex Lindl. Plerandra jatrophifolia  Hance,"To podda ga, Preaka, Chainda (Marma).",-,Dropsy,"Paste prepared from roots and fruits are applied to snake-bites. Root  paste is applied to swollen and painful penis of childrens in Chittagong Hill Tracts. Root pieces are used as talismans against dropsy, generally five talismans are used: two at ankles",-,small tree,"Forests of Chittagong, Chittagong Hill Tracts and Sylhet.","An unbranched small tree, 3-4.5 m high, with short prickles on the stem. Leaves large, 30-60 cm across, deeply palmatifid or palmatisect, lobes acuminate, serrate. Petiole 60-80 cm long. Flowers small, yellowish in umbels which are corymbesely arranged in terminal panicles. Fruit 16 mm long, ovoid.",610e9febcdce81e6360cccaa.html,200,2026-09-24T18:41:47.100745+00:00,
179,184,https://mpbd.cu.ac.bd/details.php?id=184,Trema ORIENTALIS (L.) Bl.,Trema  ORIENTALIS (L.) Bl.,True,Ulmaceae,Celtis madagascariensis  Bojer Celtis orientalis  L. Sponia orientalis  (L.) Decne. Trema africana  Blume Trema amboinensis Auct non Bl.,"Chikan, Jibon, Dholaguiya, Gunali (Sylhet), Jigni shuktani, Bonpotashi (Rangpur), Shimutta, Sakka sala (Chakma), Sai Saw Apang (Marma), Phakram (Garo).","Charcoal Tree, Indian Nettle Tree.","Diarrhoea,epilepsy,muscular pains,fever  with  vomoting","A decoction of the root is used for the treatment of diarrhoea and the blood in the urine. The root, bark and leaves are used in epilepsy. The stem bark is used as a poultice for muscular pains. It is also used for fever with vomoting in Khagrachari.","Octacosanoic acid, 1-octacosanyl acetate, simiarenone, simiarenol, episimiarenol and a new triterpene alcohol, trematol have been isolated from stem bark (Rastogi & Mehrotra, 1993).",Tree,In forests and village groves all over the country.,"A fast-growing evergreen tree, 7.5-9 m high, with straight, ascending branches. Leaves alternate, distichous, drooping, ovate-lanceolate, 5-15 cm long with oblique cordate base, much toothed, lower surface rough, silvery white. Flowers greenish, minute in axillary cymes. Fruit an ovoid or subglobose drupe, about 3 mm long.",3768226e0ba416441edba42e.html,200,2026-09-24T18:41:48.319722+00:00,
180,185,https://mpbd.cu.ac.bd/details.php?id=185,Trapa natans var. bispinosa (Roxb.) Makino,Trapa natans var. bispinosa (Roxb.) Makino,True,Trapaceae,Trapa   bspinosa Roxb. T. natans  L.,"Paniphal, Singara, Singra kata.","Water Chestnut, Caltrops, Singhara Nuts","Diarrhoea,bilious  affections,weakness,leucorrhoea.","Fruits are nutritive, tonic and cooling, useful in diarrhoea and bilious affections, along with milk given in nervous and general debility, seminal weakness and leucorrhoea.","Fruits contain proteins, fats, starch, sugars and manganese. Leaves contain tannins. Stems and roots have high concentration of Mn, Fe, Cu and Cr. The plant also contains nitrogenous substances (Ghani, 2003).",Herb,"Dhaka, Mymensingh, Rajshahi and other districts, in ponds and ditches.","An aquatic  herb, with flexuose stem, ascending in the water, the submerged parts furnished with numerous opposite pairs of green root-like spreading pectinate organs. Leaves alternate, crowded on the upper part of the stem, the blade as broad as or broader than long, 3.8-5 cm long, rhomboid, somewhat truncate at the base, irregularly inciso-serrate, reddish-purple beneath, petiole dilated near the apex. Flowers few, axillary, solitary, pure white. Fruit obovoid, angular, 2.2-5 cm long and broad, with a spreading flattened very sharp spinous horn at either side.",15d0109f60c7556c28f4753b.html,200,2026-09-24T18:41:49.787370+00:00,
181,186,https://mpbd.cu.ac.bd/details.php?id=186,Tragia INVOLUCRATA L.,Tragia  INVOLUCRATA L.,True,Euphorbiaceae,Croton urens  L. Tragia involucrata  var. rheediana Müll.Arg.,"Bichchuti, Lata-bichchuti, Beshani. ,Bangal Sot-tha (Chakma), Chiapoung (Marma).",Indian Stinging Nettle,"Itching,bronchitis,fever, jaundice.","Roots are diaphoretic, alterative, diuretic and blood purifier. They are valued in febricula and in itching of the skin, also for pains in legs and arms. Roots are also used in old venereal complaints and externally in enlarged spleen, decoction of the ro","Seeds yield a fixed oil containing about 62% linoleic acid and enzymes. They are also rich in proteins (Ghani, 2003).",,"Forests of Chittagong, Chittagong Hill Tracts and Cox’s Bazar.","A perennial evergreen twiner, more or less hispid. Leaves 2.5-10 cm long, variable, oblong-lanceolate to broadly ovate, acuminate, serrate, hairy, base rounded or cordate. Flowers small, without petals, shortly pedicellate, in terminal, axillary and leaf-opposed usually hairy racemes, 2.5-5 cm long, males in the upper part, the females few, in the lower part. Capsule 8 mm diam., 3-lobed, white, more or less hispid.",f370210c5e753a70215bb085.html,200,2026-09-24T18:41:50.869445+00:00,
182,187,https://mpbd.cu.ac.bd/details.php?id=187,Torenia ASIATICA L.,Torenia  ASIATICA L.,True,Scrophulariaceae,Torenia glabra  Osbeck.,Asiantoren,-,Gonorrhoea.,The juice of the leaves is considered in Malabar Coast as a cure for gonorrhoea.,-,Herb,Chittagong.,"A creeping herb, with many long stragling, spreading or erect branches, rooting at nodes. Leaves 2-3.2 cm, ovate-lanceolate, rounded at base but tapering on the petiole, acute serrate. Flowers solitary, calyx about 2 cm, 5-ribbed, slightly winged, corolla-tube 2.5 cm, limb nearly 2.5 cm diam. Capsule as long as calyx.",a3eb62a14a7a2dfd4d544875.html,200,2026-09-24T18:41:52.284126+00:00,
183,188,https://mpbd.cu.ac.bd/details.php?id=188,Toona CILIATA J. Roem.,Toona  CILIATA J. Roem.,True,Meliaceae,Cedrela toona  Roxb. Cedrela microcarpa  C.DC. Cedrela serrulata  Miq. Toona microcarpa  (C.DC.) Harms Toona mollis  (Hand.-Mazz.) A. Chev.,"Tun, Chikado, Piyatoon, Rangi, Peo, Piays, Suruj (Chittagong), Kuma (Sylhet), Rongi (Mymensingh), Sorbet (Chakma), Chikado, Tsitkado (Mogh), Bol-bret (Garo).","Red Toon, Indian Mahogany, Toon, Red Cedar, Moulmein Cedar, Sandal Neem, Singapore Cedar.","astringent, expectorant, tonic, antiperiodic, fevers, rheumatism, menstrual disorders and dysentery.","Bark is powerful astringent, expectorant, tonic and valuable antiperiodic, in the form of infusion it is given in fevers, rheumatism and chronic infantile dysentery, as a local astringent it is applied in various forms of ulceration. Flowers are consider","Flowers contain a red colouring matter, nyctanthin and a flavanol dyestuff containing quercetin. Bark contains tannic acid, a bitter resin, a phlobaphene, citric acid and starch. Wood contains an essential oil consisting of tricyclic sesquiterpene, copaen",Tree,"Forests of Chittagong, Chittagong Hill Tracts, Cox’s Bazar, Dhaka, Sylhet, Mymensingh, Dinajpur. Also found in the village shrubberies throughout the country.","A medium to large, deciduous tree, up to 18 m high. Leaves paripinnate, 30-60 cm long, somewhat crowded at the ends of branchlets, leaflets 10-20, oblong-lanceolate, often falcate with oblique base, 5-12 cm long. Flowers small, white, in terminal pyramidal, cymose panicle. Capsule oblong, 2-2.5 cm long, dark brown when mature.",c22f36c46cae64d47bcf5748.html,200,2026-09-24T18:41:53.775488+00:00,
184,189,https://mpbd.cu.ac.bd/details.php?id=189,Toddalia ASIATICA (L.) Lam.,Toddalia  ASIATICA (L.) Lam.,True,Rutaceae,Toddalia aculeata  Pers. Cranzia asiatica  (L.) Kuntze Paullinia asiatica  L. Toddalia angustifolia  Lam.,"Dahin, Kadtodali.","Lopez-root Tree, Forest Pepper.","tonic, stimulant, astringent, anti-diarrhoetic, antiperiodic, febrifuge, owels and rheumatism.","The root bark is tonic, stimulant, astringent, anti-diarrhoetic, antiperiodic and febrifuge, useful in constitutional debility and convalescence after febrile and other exhausting diseases. It improves appetite and help digestion. Leaves are also sometime","Leaves contain a glycosidal alkaloid, toddaline. Root contains a poisonous resin. Root bark contains the alkaloids toddaline and toddalinine, toddalolactone, resins and glycosides (Chopra et. al., 1992). Pimpinellin, isopimpinellin, 6-(3-chloro-2-hydroxy-",Climber,Forest of Sylhet,"A large evergreen climber with rambling stems, up to 15 m high, armed with curved or straight prickles. Leaves alternate, digitalely trifoliate, leaflets sessile, 5-10 cm long, obovate-oblong, crenulate, shortly blunt-acuminate, base acute. Flowers 3.8-6 mm diam., pale greenish-yellow, in axillary and terminal panicles, 2.5-6.3 cm long. Fruit 7.5-12 mm diam., subglobose, with 5 shallow grooves, yellowish.",b96c2052b6f5ced3116b1195.html,200,2026-09-24T18:41:55.259563+00:00,
185,190,https://mpbd.cu.ac.bd/details.php?id=190,Tinospora CRISPA Miers.,Tinospora  CRISPA Miers.,True,Menispermaceae,Menispermum crispum  L.  Tinospora gibbericaulis  Hand.-Mazz. Tinospora mastersii  Diels Tinospora thorelii  Gagnep.,"Gulancha, Padmaguruz (Rema-Kalenga). ,Jhioludi (Chakma).",-,"tonic , febrifuge,  fever, intermittent fever, malarial fever, chronic rheumatism and  debility.","Stem is tonic and febrifuge, given in fever, intermittent fever, malarial fever, chronic rheumatism and in general debility. The stem is given as blood purifier and in stomach disorder in Khagrachari.","Plant contains 0.6-0.8% of a bitter principle picroretin. Stems contain a glucoside (Chopra et. al., 1992). Two unidentified alkaloids, one hydroxyl compound, mp. 95°, ?-sitosterol and another sterol and essential oil, have been isolated from leaves. Sodi",Climber,"Sylhet, Panchagarh, Sherpur and other part of the country.","A lofty, woody, climber, entirely glabrous. Stem tuberculate or warted. Leaves ovate to oblong-ovate, aacuminate, base truncate or very slightly cordate, 7.5-5 cm long. Flowers small, green in slender, lax racemes. Fruits oblong, 7.5 mm long, yellow or red.",faa7718800eab588bf921fe0.html,200,2026-09-24T18:41:56.660296+00:00,encoding_loss_suspected
186,191,https://mpbd.cu.ac.bd/details.php?id=191,Tinospora sinensis (Lour.) Merr.,Tinospora sinensis (Lour.) Merr.,True,Menispermaceae,Tinospora cordifolia  (Willd.) Miers Menispermum cordifolium  Willd. Menispermum malabaricum  Lam. Tinospora tomentosa (Colebr.) Hook. f. & Thomson.,"Gulancha, Gurach, Gadancha. ,Fa Bro Noi, Kha Bru Nay (Marma), Gurach-ludhi (Chakma), Paidda gandi, Sam rupu (Garo).","Gulancha, Tinospora.","stomachic, febrifuge, tonic, expectorant, stimulates, pimples, gonorrhoea, cough, fever, skin affections, cardiac problems, rheumatism, haemoptysis, colic, jaundice, burning sensation and dropsy.","The stem is bitter stomachic, febrifuge, tonic, expectorant, stimulates bile secretion. Fresh juice of the plant is useful in pimples, gonorrhoea, cough, fever, skin affections, cardiac problems, rheumatism, haemoptysis, colic, jaundice, burning sensation","Stems contain the quaternary alkaloids, choline, protoberberine and also probably berberine and the glycosides, giloin and giloinin, a non-glycosidic compound gilenin, sterols, sitosterol and furanoid bitter principles such as columbin, chasmanthin and pa",Climber,"Barisal, Comilla, Chittagong, Dhaka, Dinajpur and other places of the country.","A large glabrous climber, with succulent, corky, grooved stems, branches sending down slender, pendulous, fleshy roots. Leaves 5-10 cm or more long, roundish or subdeltoid, cordate, obtuse or more or less cuspidate. Racemes rather lax, 5 cm long, axillary, terminal or from the old wood, flowers small. Fruit scarlet, size of a large pea.",b527406110aab0b79ecf1d71.html,200,2026-09-24T18:41:58.047251+00:00,
187,192,https://mpbd.cu.ac.bd/details.php?id=192,Tiliacora racemosa Colebr.,Tiliacora racemosa Colebr.,True,Menispermaceae,Tiliacora acuminata  Miers Menispermum acuminatum  Lamk.,Teliakora.,-,snake-bites.,Roots are rubbed between stones and mixed with water is given as a drink for the cure of venomous snake-bites.,"Two new bisbenzylisoquinoline alkaloids – tiliarine and tiliacorine along with six known alkaloids have been isolated from roots. Roots also contain bases A iodide, B iodide and D perchlorate, tiliacine, corine, mohinine and a new base-mosine. Tiliamosine",Climber,"Dhaka, Bagerhat, Kustia, Khulna, Faridpur, Rajshahi.","A large woody climber, branches cinereous, striate. Leaves 7.5-15 cm long, ovate, acuminate, cordate, truncate or rounded at the base. Flowers yellow, 6 mm across, in elongate, lax, axillary, racemose panicles, up to 30 cm long, branches 2.5 cm long, male 3-7 flowered at the apex, female 1-flowered. Drupes 1-10, reddish, 1.3 cm long, ovate, compressed.",d80703fb003114fe016721a4.html,200,2026-09-24T18:41:59.263992+00:00,
188,193,https://mpbd.cu.ac.bd/details.php?id=193,Thunbergia GRANDIFLORA (Roxb. ex Rottl.) Roxb.,Thunbergia  GRANDIFLORA (Roxb. ex Rottl.) Roxb.,True,Acanthaceae,Flemingia grandiflora  Roxb. ex Rottl. Pleuremidis grandiflora  (Roxb. ex Rottl.) Raf. Thunbergia chinensis  Merr. Thunbergia cordifolia  Nees.,"Nillata, Nallata. ,Deldi pata, Del lodi (Chakma), Lachuia-nui, La Soain Nuya (Marma).",-,"eye diseases, urinary bladder and elephantiasis.","Leaves are used as a poultice in stomach complaints. Watered down sap of the stem is used to treat eye diseases in Chittagong Hill Tracts. Sap blown from the stem is given in eye pain, it has some cooling effect in the eyes (Marma). Leaves are used to tre",-,Climber,"Forests of Gajipur, Chittagong, Chittagong Hill Tracts, Cox’s Bazar , Tangail.","A large climber. Leaves 15.25 x 7.6 cm, ovate or uppermost lanceolate, often angular or lobed, scabrid or pubescent. Racemes usually stout, pubescent, somewhat dense-flowered, or more slender, elongate. Flowers conspicuous, corolla blue, 5-7.6 cm long, tube ventricose, curved, limb oblique, lobes 5, rounded. Capsule 2.5-5 cm, globose, suddenly narrowed into a barren sword-shaped beak.",d34f48cc05d5a852eb96a820.html,200,2026-09-24T18:42:00.751173+00:00,
189,194,https://mpbd.cu.ac.bd/details.php?id=194,Cascabela thevetia (L.) Lippold.,Cascabela thevetia (L.) Lippold.,True,Apocynaceae,Thevetia peruviana  (Pers.) K.Schum. Cascabela peruviana  (Pers.) Raf. Cerbera thevetia  L. Thevetia linearis  A. DC. Thevetia neriifolia  Juss. ex A.DC.,"Kalkephul, Halde Korobi, Kanai, Kokilphul.","Lucky Nut Tree, Yellow Oleander.","cardiac tonic,cardiac stimulant,cathartic, febrifuge, emetic, fevers,purgative and abortifacient.","All parts of the plant are poisonous. Milky juice of the plant is also highly poisonous. Barks and seeds are cardiac tonic and strong cardiac stimulant. Bark is cathartic, powerful febrifuge and emetic, useful in various kinds of intermittent fevers. Leav","Plant contains milky latex and a number of cardioactive glycosides. Seed kernel contains a phytosterolin and the glucosides, ahouain, kokilphin, thevetin, neriifolin, acetylneriifolin, thevefolin, theveneriin, cerebrin, peruvoside and ruvoside and a fatty",small tree,Cultivated throughout the country as an ornamental plant.,"A large, evergreen shrub or small tree, 4.5-6 m high. Leaves 7.5-15.0 cm long, linear, narrowed at both ends, spirally arranged. Flowers about 5 cm across, in few-flowered terminal cymes, corolla yellow, fragrant, funnel-shaped, 5 cm long. Fruit broadly obovate in longitudinal section, 3.2 cm long, somewhat longitudinally constricted, mesocarp bony.",e9f3713262d0bc06cf4ff504.html,200,2026-09-24T18:42:02.235969+00:00,
190,195,https://mpbd.cu.ac.bd/details.php?id=195,Thespesia POPULNEA (L.) Sol. ex Corr.,Thespesia  POPULNEA (L.) Sol. ex Corr.,True,Malvaceae,Abelmoschus acuminatus  (Alef.) Müll.Berol Bupariti populnea  (L.) Rothm. Hibiscus blumei  Kuntze Malvaviscus populneus  (L.) Gaertn. Thespesia macrophylla  Blume.,"Dumbla, Parespipal, Polaopipal, Gajasundhi, Paresh, Pakor, Ban Kapas.","Portia Tree, Umberlla Tree, Indian Tulip Tree, False Rosewood.","scabies, psoriasis, ringworm, eczema, peduncles, sprains, bruises, cutaneous diseases,dysentery, gonorrhea, cholera and haemorrhoides.","The bark, leaves, flowers and fruit are useful in cutaneous affections such as scabies, psoriasis, ringworm and eczema. Yellow juice of the peduncles and fruits is useful in sprains, bruises and all cutaneous diseases. Decoction of the bark is given inter","Fruits contain thespesin and herbacetin. Heartwood, bark, fruits and flowers contain (+)-gossypol and calycopterin. Seeds yield fatty oil composed of esters of palmitic, stearic, oleic and linoleic acids. A rare flavonoid quercetin-7-O-rhamno-glucoside ha",Tree,"Meritime forests of Cox’s Bazar, Sundarbans, Chittagong and occasionally, planted else where.","A medium-sized evergreen tree. Leaves cordate, acuminate, 15-20 cm, entire, dark green, petiole 3-10 cm long. Flowers yellow with purple base, axillary, solitary or in 2 together on slender 2-7 cm long pedicels, corolla 5-7.5 cm diam,. Fruit a capsule, 2.5 cm diam., depressedly globose, 5-valved.",a6be7dbad6db687457e61568.html,200,2026-09-24T18:42:03.346313+00:00,
191,196,https://mpbd.cu.ac.bd/details.php?id=196,Terminalia CITRINA Flaming.,Terminalia  CITRINA Flaming.,True,Combretaceae,Terminalia manii  King.,"Haritaki, Belomit, Aritok (Garo).",Citrine Myrobalan.,diuretic and cardiotonic.,The fruit has the same properties as that of T. chebula. The bark has diuretic and cardiotonic properties.,-,Tree,"Forests of Gazipur, Tangail, Sylhet, Chittagong and Chittagong Hill Tracts.","A medium-sized to large, deciduous tree, up to 25 m high. Leaves sub-opposite, elliptic to oblong-lanceolate, 7-20 cm long, entire. Flowers small, dull-yellow, sessile in terminal and lateral, spikes, often panicled. Fruit a drupe, oblong-lanceolate, about 5 cm long, smooth, obscurely 5-angled.",7fdd3cdfb08e7ecbd604eb6d.html,200,2026-09-24T18:42:04.402230+00:00,
192,197,https://mpbd.cu.ac.bd/details.php?id=197,Terminalia CHEBULA Retz.,Terminalia  CHEBULA Retz.,True,Combretaceae,Buceras chebula  (Retz.) Lyons Myrobalanus gangetica  (Roxb.) Kostel. Terminalia acuta  Walp. Terminalia reticulata  Roth.,"Haritaki, Hartaki. ,Horttal, Oittal (Chakma), Kaho (Mogh), Artak (Garo).","Black Myrobalan, Chebulic Myrobalan, Ink Nut, Gall nut.","stomachic, tonic, carminative, expectorant , antidysenteric, asthma, sore throat, heart, piles, leucoderma, constipation, painful menstruation and indigestion,ulcers, wounds, fever, urinary diseases, rheumatism, flatulence, hiccup, colic, astringent, aper","Fruits are stomachic, tonic, carminative, expectorant and antidysenteric, useful in asthma, sore throat, stomatitis, heart diseases, bleeding piles, leucoderma, constipation, painful menstruation and indigestion, applied externally to chronic ulcers and w","Tannins, steroidal triterpenoids, flavonoids, glycosides, resins, proteins, amino acids, reducing sugars and minerals are present in the plant. Fruits contain about 30% of an astringent substance which is a mixture of tannins, tannic acid, betulinic acid,",Tree,"Dhaka, Chittagong, Tangail, cultivated in many parts of the country.","A medium-sized to large, deciduous tree, 25-30 m high. Leaves sub-opposite or alternate, ovate-oblong or elliptic, 7-18 cm long, shortly acuminate, base rounded or cuneate. Flowers small, 4 mm across, yellowish-white, sessile in terminal or in the axillary short spikes from the uppermost leaves. Fruit a drupe, ovoid from a cuneate base, 2.5-5.0 cm long, more or less 5-angled.",cbe735d35beaabbaa3865288.html,200,2026-09-24T18:42:05.895236+00:00,
193,198,https://mpbd.cu.ac.bd/details.php?id=198,Terminalia CATAPPA L.,Terminalia  CATAPPA L.,True,Combretaceae,Badamia commersonii  Gaertn. Juglans catappa  (L.) Lour. Terminalia badamia  sensu Tul. Terminalia myrobalana  Roth.,"Bangla Badam, Kath Badam, Deshi Badam.","Country Almond, Indian Almond.","Aphrodisiac, bowels,bronchitis,vesicating, astringent, diuretic, cardiotonic,leprosy, scabies, colic and headache.","Fruits are aphrodisiac and astringent to the bowels, useful in bronchitis. Kernel oil is vesicating. Bark is astringent, mildly diuretic and fairly potent cardiotonic. Juice of young leaves is used to prepare an ointment for leprosy, scabies and other ski","Gallic acid, allagic acid, corilagin and unidentified flavonoids have been isolated from leaves, fruits and bark. Oil from fruits resembled almond oil (Rastogi & Mehrotra, 1990).",Tree,Planted all over country as avenue and shade tree.,"A tall deciduous tree with whorled horizontally spreading branches. Leaves obovate, rounded or retuse at apex and cuneate at the base, 15-25 cm long, clustered at the end of the branchlets, red before falling. Flowers small, white, in solitary, axillary, simple spike, upper flowers male, lower ones bisexual. Fruit a drupe, 2.5-5.0 cm long, ellipsoid, slightly compressed.",6fd4e3ce33edd577603f158d.html,200,2026-09-24T18:42:07.125225+00:00,
194,200,https://mpbd.cu.ac.bd/details.php?id=200,Terminalia BILLIRICA (Gaertn.)Roxb.,Terminalia  BILLIRICA (Gaertn.)Roxb.,True,Combretaceae,Myrobalanus laurinoides  (Teijsm. & Binn.) Kuntze Terminalia bellirica  var. laurinoides (Teijsm. & Binn.) C.B. Clarke,"Bahera, Boira. ,Sacheng (Mogh), Bora-gach (Chakma), Bol-suiri (Garo), Ka Sing Ba, Cha Ching Ti, Soi Sing Si (Marma), Boya gula (Tanchangya).",Myrobalan Belaric,"Hepatitis, bronchitis, asthma, dyspepsia, piles, diarrhoea, coughs, hoarseness of voice, eye diseases, scorpion-sting,dysenteric-diarrhoea, dropsy,piles, leprosy,rheumatism.","Fruits are laxative, astringent, anthelmintic and antipyretic, useful in hepatitis, bronchitis, asthma, dyspepsia, piles, diarrhoea, coughs, hoarseness of voice, eye diseases and scorpion-sting, used as a hair tonic. Decoction of the green fruit is used f","Fruits contain tannins, which is composed of gallotannic and ellagitannic acids, phyllemblin, ?-sitosterol, mannitol, sugars, hydrocarbons, tirtriacontanone, tetratriacontane, a hexahydroxy diphenic acid ester, ditriacontanol, resins and a greenish yellow",Tree,": Forests of Gazipur, Sherpur, Chittagong, Chittagong Hill Tracts, Cox’s Bazar, Tangail and planted elsewhere.","A large deciduous tree, 10-20 m high, with tall trunk and long horizontal branches. Leaves 10-20 cm long, alternate, clustered at the end of branchlets, obovate or broadly elliptic, acute or acuminate, base narrowed. Flowers greenish-yellow, small in simple axillary spikes, shorter than the leaves. Fruit a drupe about 2.5 cm long, globose or narrowed at the base, silky-brownish-velvety.",bcc52f0319848f4683ba31cc.html,200,2026-09-24T18:42:08.645193+00:00,encoding_loss_suspected
195,201,https://mpbd.cu.ac.bd/details.php?id=201,Terminalia ARJUNA (Roxb. ex DC.) Wight & Arn.,Terminalia  ARJUNA (Roxb. ex DC.) Wight & Arn.,True,Combretaceae,Pentaptera arjuna  Roxb. ex DC.,Arjun,"Arjuna Myrobalan, Arjun.","anaemia, excessive perspiration, dysentery, asthma, hypertension, wounds, skin eruptions, menstrual problems, pains and leucorrhoea,","Bark is cardiac tonic, astringent, diuretic and febrifuge, useful in diseases of the heart, anaemia, excessive perspiration, dysentery, asthma, hypertension, wounds, skin eruptions, menstrual problems, pains and leucorrhoea. It is also used in the treatme","The bark constitutes an important crude drug, which contains tannins, triterpenoids saponins, esters, flavonoids, sterols, calcium salts, alkaloidal and glycosidal substances, arjunine and arjunglycoside, arjunin, a sapogenin, arjungenin, a flavone, arjun",Tree,Planted all over Bangladesh.,"A large deciduous or semideciduous tree with buttressed and fluted trunk. Leaves sub-opposite, 10-15 cm long, elliptic-oblong, tip blunt or very shortly acute. Flowers very small, sessile, yellowish, in short axillary spikes or in erect terminal panicles. Fruits obovoid or oblong, 2.5-3.5 cm long with 5-7 narrow wings.",459ea186020c0db18c80b3bc.html,200,2026-09-24T18:42:09.920906+00:00,
196,202,https://mpbd.cu.ac.bd/details.php?id=202,Tephrosia PURPUREA (L.) Pers.,Tephrosia  PURPUREA (L.) Pers.,True,Fabaceae,Cracca purpurea  L. Cracca purpurea  L. Galega diffusa  Roxb. Tephrosia diffusa  (Roxb.) Wight & Arn.,"Ban Nil, Lohamori, Sarpunkha. ,Dummuijja (Chakma), Rhoya-boung (Marma).",Wild Indigo.,"bronchitis, bilious attacks, boils, pimples ,bleeding piles,cough,liver disorders,scabies, itch, eczema and other skin diseases","Dried herbs possess tonic, laxative, diuretic and deobstruent properties. It is given for the treatment of bronchitis, bilious attacks, boils, pimples and bleeding piles, useful in cough and kidney disorders. It is useful for the treatment of general live","Leaves and roots contain glycosides, which include osyritin, rutin and tephrosin, deguelin, isotephrosin and rotenone, three crystalline compounds, maxima substance A, B and C, which are chemically related to the isoflavonic compound rotenone. Leaves also",Herb,Throughout the country in fallow lands.,"A copiously branched herbaceous perennial, 30-60 cm high, branches spreading. Leaves 5-10 cm long, imparipinnate, leaflets 11-21, oblanceolate, obtuse or retuse, mucronate, 2-2.8 cm long. Flowers purplish-pink, in leaf-opposed lax racemes, 7.5-12.5 cm long. Pods 3-4.5 cm long, linear, slightly curved.",98f32059dd56fa8d7937f1b6.html,200,2026-09-24T18:42:11.369283+00:00,
197,203,https://mpbd.cu.ac.bd/details.php?id=203,Tectona grandis L.f.,Tectona grandis L.f.,True,Verbenaceae,Jatus grandis  (L.f.) Kuntze Tectona theca  Lour. Theka grandis  (L.f.) Lam.,"Segun, Sakan (Chakma).",Teak,"piles,leucoderma ,dysentery,eczema ,ringworm,bronchitis.","The wood is laxative, anthelmintic and expectorant, useful in piles, leucoderma and dysentery. Paste of the wood is a local refrigerant and sedative, astringent, hepatic stimulant and diuretic. Powder of wood is said to be allaying skin inflammations. Oil","Wood contains a resin, a little essential oil, fatty oil, fatty acids (stearic, palmatic, oleic and linoleic acids) and a quinine-like substance, tectoquinine(2-methylanthra-quinone). It also contains anthraquinones, naphthaquinones, quinones, different f",Tree,Planted throughout the country.,"A large deciduous tree, with fluted trunk. Leaves opposite, 30-75 cm long, broadly elliptic or obovate, acuminate, cuneate at base, rough. Flowers small, 6 mm across, white in large erect, terminal cymose panicles, 0.3-0.9 m long. Fruit a sub-globose drupe, 1.3 cm diam., the pericarp soft with dense felted stellate hair, endocarp bony.",2966b45a4924bacc060a7667.html,200,2026-09-24T18:42:12.504279+00:00,
