plant_index,page_number,site_id,detail_url,scientific_name_master,scientific_name_listpage,name_match
563,57,570,https://mpbd.cu.ac.bd/details.php?id=570,Entada rheedii Spreng.,Entada rheedii Spreng.,True
564,57,571,https://mpbd.cu.ac.bd/details.php?id=571,Cissampelos PAREIRA L. Var. hirsuta (Buch. ex Dc.) Forman,Cissampelos  PAREIRA L. Var. hirsuta (Buch. ex Dc.) Forman,False
565,57,572,https://mpbd.cu.ac.bd/details.php?id=572,Cissus ADNATA Roxb.,Cissus  ADNATA Roxb.,False
566,57,573,https://mpbd.cu.ac.bd/details.php?id=573,Enhydra FLUCTUANS Lour.,Enhydra  FLUCTUANS Lour.,False
567,57,574,https://mpbd.cu.ac.bd/details.php?id=574,Emilia SONCHIFOLIA DC. ex DC.,Emilia  SONCHIFOLIA DC. ex DC.,False
568,58,575,https://mpbd.cu.ac.bd/details.php?id=575,Embelia RIBES Burm. f.,Embelia  RIBES Burm. f.,False
569,58,576,https://mpbd.cu.ac.bd/details.php?id=576,Elsholtzia stachyodes (Link) Raizada & H.O.Saxena,Elsholtzia stachyodes (Link) Raizada & H.O.Saxena,True
570,58,577,https://mpbd.cu.ac.bd/details.php?id=577,Eleusine INDICA (L.) Gaertn.,Eleusine  INDICA (L.) Gaertn.,False
571,58,578,https://mpbd.cu.ac.bd/details.php?id=578,Elephantopus SCABER L.,Elephantopus  SCABER L.,False
572,58,579,https://mpbd.cu.ac.bd/details.php?id=579,Elaeocarpus SPHAERICUS (Gaertn.) K. Schum.,Elaeocarpus  SPHAERICUS (Gaertn.) K. Schum.,False
573,58,580,https://mpbd.cu.ac.bd/details.php?id=580,Elaeocarpus FLORIBUNDUS Blume.,Elaeocarpus  FLORIBUNDUS Blume.,False
574,58,581,https://mpbd.cu.ac.bd/details.php?id=581,Eichhornia CRASSIPES (Mart.) Solms.,Eichhornia  CRASSIPES (Mart.) Solms.,False
575,58,583,https://mpbd.cu.ac.bd/details.php?id=583,Ecbolium VIRIDE (Forsk.) Alst.,Ecbolium  VIRIDE (Forsk.) Alst.,False
576,58,584,https://mpbd.cu.ac.bd/details.php?id=584,Dysoxylum HAMILTONII Hiern.,Dysoxylum  HAMILTONII Hiern.,False
577,59,585,https://mpbd.cu.ac.bd/details.php?id=585,Pogostemon auricularius (L.) Hassk.,Pogostemon auricularius (L.) Hassk.,True
578,59,586,https://mpbd.cu.ac.bd/details.php?id=586,Putranjiva roxburghii Wall.,Putranjiva roxburghii Wall.,True
579,59,587,https://mpbd.cu.ac.bd/details.php?id=587,Drynaria QUERCIFOLIA (L.) J. Sm.,Drynaria  QUERCIFOLIA (L.) J. Sm.,False
580,59,588,https://mpbd.cu.ac.bd/details.php?id=588,Drosera BURMANII Vahl.,Drosera  BURMANII Vahl.,False
581,59,589,https://mpbd.cu.ac.bd/details.php?id=589,Dodonaea VISCOSA (L.) Jacq.,Dodonaea  VISCOSA (L.) Jacq.,False
582,59,590,https://mpbd.cu.ac.bd/details.php?id=590,Dipterocarpus TURBINATUS C.F Gaertn.,Dipterocarpus  TURBINATUS C.F Gaertn.,False
583,59,591,https://mpbd.cu.ac.bd/details.php?id=591,Dipterocarpus GRACILIS Bl.,Dipterocarpus  GRACILIS  Bl.,False
584,59,592,https://mpbd.cu.ac.bd/details.php?id=592,Dipterocarpus ALATUS Roxb. ex G. Don.,Dipterocarpus  ALATUS  Roxb. ex G. Don.,False
585,59,593,https://mpbd.cu.ac.bd/details.php?id=593,Diploclisia GLAUCESCENS (Bl.) Diels.,Diploclisia  GLAUCESCENS (Bl.) Diels.,False
586,59,594,https://mpbd.cu.ac.bd/details.php?id=594,Diospyros MONTANA Roxb. Var. CORDIFOLIA (Roxb.) Heirn.,Diospyros  MONTANA Roxb. Var. CORDIFOLIA (Roxb.) Heirn.,False
587,60,595,https://mpbd.cu.ac.bd/details.php?id=595,Diospyros MALABARICA (Desr.) Kostel,Diospyros  MALABARICA (Desr.) Kostel,False
588,60,596,https://mpbd.cu.ac.bd/details.php?id=596,Diosocorea PENTAPHYLLA L.,Diosocorea  PENTAPHYLLA L.,False
589,60,597,https://mpbd.cu.ac.bd/details.php?id=597,Dioscorea HISPIDA Dennstedt,Dioscorea  HISPIDA Dennstedt,False
590,60,598,https://mpbd.cu.ac.bd/details.php?id=598,Dioscorea HAMILTONII Hook. f.,Dioscorea  HAMILTONII Hook. f.,False
591,60,599,https://mpbd.cu.ac.bd/details.php?id=599,Dioscorea BULBIFERA L.,Dioscorea  BULBIFERA L.,False
592,60,600,https://mpbd.cu.ac.bd/details.php?id=600,Dioscorea BELOPHYLLA (Prain) Haines,Dioscorea  BELOPHYLLA (Prain) Haines,False
593,60,601,https://mpbd.cu.ac.bd/details.php?id=601,Dioscorea ALATA L.,Dioscorea  ALATA L.,False
594,60,602,https://mpbd.cu.ac.bd/details.php?id=602,Dimocarpus LONGAN Lamk.,Dimocarpus  LONGAN Lamk.,False
595,60,603,https://mpbd.cu.ac.bd/details.php?id=603,Dillenia PENTAGYNA Roxb.,Dillenia  PENTAGYNA Roxb.,False
596,60,604,https://mpbd.cu.ac.bd/details.php?id=604,Dillenia INDICA L.,Dillenia  INDICA L.,False
597,61,605,https://mpbd.cu.ac.bd/details.php?id=605,Digera ALTERNIFOLIA Asch.,Digera  ALTERNIFOLIA Asch.,False
598,61,606,https://mpbd.cu.ac.bd/details.php?id=606,Desmodium TRIFLORUM (L.) DC.,Desmodium  TRIFLORUM (L.) DC.,False
599,61,607,https://mpbd.cu.ac.bd/details.php?id=607,Desmodium styracifolium (Osbeck) Merr.,Desmodium styracifolium (Osbeck) Merr.,True
600,61,608,https://mpbd.cu.ac.bd/details.php?id=608,Phyllodium PULCHELLUM (L.) Desv.,Phyllodium    PULCHELLUM (L.) Desv.,False
601,61,609,https://mpbd.cu.ac.bd/details.php?id=609,Desmodium HETEROCARPON (L.) A. DC.,Desmodium  HETEROCARPON (L.) A. DC.,False
602,61,610,https://mpbd.cu.ac.bd/details.php?id=610,Desmodium GANGETICUM (L.) DC.,Desmodium  GANGETICUM (L.) DC.,False
603,61,611,https://mpbd.cu.ac.bd/details.php?id=611,Derris TRIFOLIATA Lour.,Derris  TRIFOLIATA Lour.,False
604,61,612,https://mpbd.cu.ac.bd/details.php?id=612,Derris ROBUSTA Benth.,Derris  ROBUSTA Benth.,False
605,61,613,https://mpbd.cu.ac.bd/details.php?id=613,Derris INDICA (Lamk.) Bennet.,Derris  INDICA (Lamk.) Bennet.,False
606,61,614,https://mpbd.cu.ac.bd/details.php?id=614,Derris ELLIPTICA Benth.,Derris  ELLIPTICA Benth.,False
607,62,615,https://mpbd.cu.ac.bd/details.php?id=615,Dendrophthoe FALCATA (L. f.) Ett.,Dendrophthoe  FALCATA (L. f.) Ett.,False
608,62,616,https://mpbd.cu.ac.bd/details.php?id=616,Dendrocalamus STRICTUS (Roxb.) Nees.,Dendrocalamus  STRICTUS (Roxb.) Nees.,False
609,62,617,https://mpbd.cu.ac.bd/details.php?id=617,Daucus CAROTA L.,Daucus  CAROTA L.,False
610,62,618,https://mpbd.cu.ac.bd/details.php?id=618,Datura METEL L.,Datura  METEL L.,False
611,62,619,https://mpbd.cu.ac.bd/details.php?id=619,Dalbergia VOLUBILIS Roxb.,Dalbergia  VOLUBILIS Roxb.,False
612,62,620,https://mpbd.cu.ac.bd/details.php?id=620,Dalbergia STIPULACEA Roxb.,Dalbergia  STIPULACEA Roxb.,False
613,62,621,https://mpbd.cu.ac.bd/details.php?id=621,Dalbergia SPINOSA Roxb.,Dalbergia  SPINOSA Roxb.,False
614,62,622,https://mpbd.cu.ac.bd/details.php?id=622,Dalbergia SISSOO Roxb.,Dalbergia  SISSOO Roxb.,False
615,62,623,https://mpbd.cu.ac.bd/details.php?id=623,Dalbergia LATIFOLIA Roxb.,Dalbergia  LATIFOLIA Roxb.,False
