plant_index,source_query,bmpdd_query_name,parser_status,rows_extracted,rows_with_cid,rows_missing_cid
266,Saccharum ARUNDINACEUM Rets.,Saccharum ARUNDINACEUM,ZERO_RESULTS,0,0,0
267,Rungia PECTINATA (L.) Nees.,Rungia PECTINATA,ZERO_RESULTS,0,0,0
268,Rumex VESICARIUS L.,Rumex VESICARIUS,ZERO_RESULTS,0,0,0
269,rumex MARITIMUS L,rumex MARITIMUS,ZERO_RESULTS,0,0,0
270,Ruellia SUFFRUTICOSA Roxb.,Ruellia SUFFRUTICOSA,ZERO_RESULTS,0,0,0
271,Rourea COMMUTATA Planch.,Rourea COMMUTATA,ZERO_RESULTS,0,0,0
272,Ricinus COMMUNIS L.,Ricinus COMMUNIS,PASS,64,0,64
273,RHYNCHOTECHUM ELLIPTICUM (Wall. ex D. Dietr.) A. DC.,RHYNCHOTECHUM ELLIPTICUM,ZERO_RESULTS,0,0,0
274,rhizophora MUCRONATA Lam.,rhizophora MUCRONATA,ZERO_RESULTS,0,0,0
275,Rhinacanthus NASUTA (L.) Kurz.,Rhinacanthus NASUTA,ZERO_RESULTS,0,0,0
276,Reinwardtia indica Dumort.,Reinwardtia indica,ZERO_RESULTS,0,0,0
277,Rauvolfia TETRAPHYLLA L.,Rauvolfia TETRAPHYLLA,ZERO_RESULTS,0,0,0
278,Rauvolfia SERPENTINA (L.) Benth. ex Kurz.,Rauvolfia SERPENTINA,PASS,90,0,90
279,Ranunculus SCELERATUS L.,Ranunculus SCELERATUS,ZERO_RESULTS,0,0,0
280,Oxyceros longiflorus (Lam.) T.Yamaz.,Oxyceros longiflorus,ZERO_RESULTS,0,0,0
281,aidia DENSIFLORA (Wall.) Masam.,aidia DENSIFLORA,ZERO_RESULTS,0,0,0
282,Combretum indicum (L.) De Filipps.,Combretum indicum,ZERO_RESULTS,0,0,0
283,Punica GRANATUM L.,Punica GRANATUM,PASS,117,0,117
284,Pueraria TUBEROSA (Willd.) DC.,Pueraria TUBEROSA,ZERO_RESULTS,0,0,0
285,Pterygota ALATA (Roxb.) R. Br.,Pterygota ALATA,ZERO_RESULTS,0,0,0
286,Pterospermum ACERIFOLIUM (L.) Willd.,Pterospermum ACERIFOLIUM,ZERO_RESULTS,0,0,0
287,Psidium GUAJAVA L.,Psidium GUAJAVA,PASS,466,0,466
288,Premna CORYMBOSA Rottler & Willd.,Premna CORYMBOSA,PASS,6,0,6
289,Premna ESCULENTA Roxb.,Premna ESCULENTA,ZERO_RESULTS,0,0,0
290,Pouzolzia ZEYLANICA (L.) Benn.,Pouzolzia ZEYLANICA,ZERO_RESULTS,0,0,0
291,Pothos SCANDENS L.,Pothos SCANDENS,ZERO_RESULTS,0,0,0
292,Portulaca OLERACEA L.,Portulaca OLERACEA,ZERO_RESULTS,0,0,0
293,polygonum PLEBEIUM R. Br.,polygonum PLEBEIUM,PASS,7,0,7
294,Polygala ARVENSIS Willd,Polygala ARVENSIS,ZERO_RESULTS,0,0,0
295,Polyalthia LONGIFOLIA (Sonn.) Thw.,Polyalthia LONGIFOLIA,ZERO_RESULTS,0,0,0
296,Polianthes TUBEROSA L.,Polianthes TUBEROSA,ZERO_RESULTS,0,0,0
297,Pogostemon PUBESCENCE Benth.,Pogostemon PUBESCENCE,ZERO_RESULTS,0,0,0
298,Pogostemon BENGHALENSE (Burm.f.) Kuntze.,Pogostemon BENGHALENSE,ZERO_RESULTS,0,0,0
299,Plumeria RUBRA L.,Plumeria RUBRA,PASS,151,0,151
300,Plumbago ZEYLANICA L.,Plumbago ZEYLANICA,PASS,26,0,26
301,Plumbago INDICA L.,Plumbago INDICA,PASS,28,0,28
302,Pithecellobium DULCE (Roxb.) Benth.,Pithecellobium DULCE,ZERO_RESULTS,0,0,0
303,Archidendron clypearia (Jack) I.C.Nielsen.,Archidendron clypearia,ZERO_RESULTS,0,0,0
304,Pisum SATIVUM L.,Pisum SATIVUM,ZERO_RESULTS,0,0,0
305,Pistia STRATIOTES L.,Pistia STRATIOTES,ZERO_RESULTS,0,0,0
306,Piper RETROFRACTUM Vahl.,Piper RETROFRACTUM,ZERO_RESULTS,0,0,0
307,Piper NIGRUM L.,Piper NIGRUM,PASS,277,0,277
308,Piper LONGUM L.,Piper LONGUM,PASS,90,0,90
309,Piper BETEL L.,Piper BETEL,ZERO_RESULTS,0,0,0
310,Picrasma JAVANICA Bl.,Picrasma JAVANICA,ZERO_RESULTS,0,0,0
311,Physalis minima L.,Physalis minima,ZERO_RESULTS,0,0,0
312,Phyllanthus virgatus G.Forst.,Phyllanthus virgatus,ZERO_RESULTS,0,0,0
313,Phyllanthus URINARIA L.,Phyllanthus URINARIA,PASS,17,0,17
314,Phyllanthus RETICULATUS Poir.,Phyllanthus RETICULATUS,PASS,16,0,16
315,Phyllanthus MADERASPATENSIS L.,Phyllanthus MADERASPATENSIS,ZERO_RESULTS,0,0,0
316,. PHYLLANTHUS EMBLICA L. (Euphorbiaceae),PHYLLANTHUS EMBLICA,PASS,50,0,50
317,Phyllanthus amarus Schumach. & Thonn.,Phyllanthus amarus,ZERO_RESULTS,0,0,0
318,Phyllanthus acidus (L.) Skeels.,Phyllanthus acidus,ZERO_RESULTS,0,0,0
319,Phyla NODIFLORA (L.) Greene.,Phyla NODIFLORA,ZERO_RESULTS,0,0,0
320,Phragmites karka (Retz.) Trin. ex Steud.,Phragmites karka,ZERO_RESULTS,0,0,0
321,Phoenix sylvestris (L.) Roxb.,Phoenix sylvestris,PASS,8,0,8
322,Phlogacanthus THYRSIFLORUS Nees.,Phlogacanthus THYRSIFLORUS,ZERO_RESULTS,0,0,0
323,Persicaria ORIENTALIS (L.) Spach.,Persicaria ORIENTALIS,ZERO_RESULTS,0,0,0
324,Persicaria hydropiper (L.) Delarbre .,Persicaria hydropiper,ZERO_RESULTS,0,0,0
325,Persicaria GLABRA (Willd.) Gomez de la Maza,Persicaria GLABRA,ZERO_RESULTS,0,0,0
326,Persicaria BARBATA (L.) Hara,Persicaria BARBATA,ZERO_RESULTS,0,0,0
327,Pericamphylus GLAUCUS (Lamk.) Merr.,Pericamphylus GLAUCUS,ZERO_RESULTS,0,0,0
328,Pergularia DAEMIA (Forssk.) Chiov.,Pergularia DAEMIA,ZERO_RESULTS,0,0,0
329,Peperomia pellucida (L.) Kunth.,Peperomia pellucida,ZERO_RESULTS,0,0,0
