inchikey_connectivity,n_chembl_molregno,chembl_ids,chembl_natural_product_flag,n_activity_all,n_activity_usable,n_activity_strict
URLKBWYHVLBVBO,1,CHEMBL31561,True,15,2,2
WQIRCLDVWQIBLO,2,CHEMBL4280185|CHEMBL465590,True,8,0,0
CTMXPIJTHHSEEF,0,,False,0,0,0
FLZGFQFYDGHWLR,0,,False,0,0,0
BGGIZHKHJBQRTI,2,CHEMBL444453|CHEMBL449686,True,65,26,0
AUHZEENZYGFFBQ,1,CHEMBL1797281,True,1,0,0
JIJQKFPGBBEJNF,1,CHEMBL3798269,True,4,0,0
JUEHHXVLFOIJJJ,0,,False,0,0,0
QVDPWQVOSKJUES,0,,False,0,0,0
YFQPDKABPCMKCA,0,,False,0,0,0
KRIMXCDMVRMCTC,0,,False,0,0,0
LUZUHPHTXSGDDD,1,CHEMBL327394,True,1,0,0
NBUWNZPAMFDSKZ,0,,False,0,0,0
AVOLBYOSCILFLL,1,CHEMBL3188746,True,0,0,0
WMAHWHYQGFDCIQ,0,,False,0,0,0
BXXSGWWNGQIJGI,0,,False,0,0,0
FFGCRXVYUSRRQO,0,,False,0,0,0
YPZQHCLBLRWNMJ,0,,False,0,0,0
YFCGDEUVHLPRCZ,0,,False,0,0,0
SDXAWLJRERMRKF,1,CHEMBL1828957,False,3,0,0
ACWQBUSCFPJUPN,1,CHEMBL53493,True,35,0,0
BMCOIOWWHJTOPU,0,,False,0,0,0
VITZNDKHSIWPSR,1,CHEMBL1086558,True,1,1,1
UCMIRNVEIXFBKS,1,CHEMBL297569,True,39,7,6
WIBFFTLQMKKBLZ,1,CHEMBL3183174,True,0,0,0
VOLGAXAGEUPBDM,0,,False,0,0,0
VMDXHYHOJPKFEK,1,CHEMBL324514,True,21,0,0
GZEWTNFOWIUNRR,0,,False,0,0,0
MAIIZFGSYSUIIV,0,,False,0,0,0
YUPNHTWYVBHLMG,4,CHEMBL1094242|CHEMBL2023569|CHEMBL5175192|CHEMBL6147500,True,7,0,0
FXHGMKSSBGDXIY,1,CHEMBL18104,True,13,0,0
SOTUFGKJQVSOCT,2,CHEMBL1078839|CHEMBL178219,True,9,1,1
VVQRGNLNINKWNE,0,,False,0,0,0
XUDAGNVXWJRKJD,0,,False,0,0,0
YWQJKAJFLCNHPB,1,CHEMBL468658,True,5,4,0
