scientific_name,synonym,family,source_page_url,scrape_timestamp
Anethum sowa Roxb.ex Fleming,Anethum graveolens subsp.sowa(Roxb. ex Fleming) N.F.Koren',Apiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=8,2026-09-22T15:47:57.682413+00:00
Carum carvi L.,Bunium carvi (L.)M.Bieb. Foeniculum carvi(L.) Link Ligusticum carvi(L.) Roth Pimpinella carvi(L.) Je,Apiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=8,2026-09-22T15:47:57.682413+00:00
Ferula foetida (Bunge) Regel,Ferula scorodosma Bentley & Trimen Scorodosma foetidum Bunge,Apiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=8,2026-09-22T15:47:57.682413+00:00
Trachyspermum roxburghianum (DC.) H.Wolff,Apium involucratum Roxb. Pimpinella involucrata(Roxb.)Wight & Arn. Ptychotis roxburghiana DC. Trachy,Apiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=8,2026-09-22T15:47:57.682413+00:00
Strychnos potatorum L. f.,Strychnos heterodoxa Gilg Strychnos stuhlmannii Gilg,Loganiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=8,2026-09-22T15:47:57.682413+00:00
Holarrhena pubescens Wall.ex G.Don,Chonemorpha pubescens (Wall.) G.Don Echites adglutinatus Burm.f. Holarrhena codaga G.Don Holarrhena,Apocynaceae,https://mpbd.cu.ac.bd/plants.php?pageno=8,2026-09-22T15:47:57.682413+00:00
Tabernamontana divaricata (L.)R.Br. ex Roem.& Schult.,Ervatamia divaricata (L.) Burkill Nerium divaricatum L. Taberna discolor (Sw.) Miers Tabernaemonta,Apocynaceae,https://mpbd.cu.ac.bd/plants.php?pageno=8,2026-09-22T15:47:57.682413+00:00
Wrightia tinctoria R. Brown,Allamanda verticillata Desf. Nerium tinctorium Roxb. Wrightia laciniataA. DC. Wrightia timorensis,Apocynacea,https://mpbd.cu.ac.bd/plants.php?pageno=8,2026-09-22T15:47:57.682413+00:00
Gymnema sylvestre (Retz.)R.Br. ex Sm.,Asclepias geminata Roxb. Marsdenia sylvestris (Retz.)P.I. Forst. Periploca sylvestris Retz. Str,Asclepiadaceae,https://mpbd.cu.ac.bd/plants.php?pageno=9,2026-09-22T15:47:59.212004+00:00
Atropa belladonna L.,Atropa cordata Pascher Atropa lethali Salisb. Belladonna baccifera Lam. Belladonna trichotoma Scop,Solanaceae,https://mpbd.cu.ac.bd/plants.php?pageno=9,2026-09-22T15:47:59.212004+00:00
Datura stramonium L.,Datura hybrida Ten. Datura tatula L . Stramonium foetidum Scop. Stramonium spinosum Lam.,Solanaceae,https://mpbd.cu.ac.bd/plants.php?pageno=9,2026-09-22T15:47:59.212004+00:00
Solanum lycopersicum L.,Lycopersicon esculentum var.esculentum Lycopersicon humboldtii (Willd.) Dunal Scubulon humboldtii (,Solanaceae,https://mpbd.cu.ac.bd/plants.php?pageno=9,2026-09-22T15:47:59.212004+00:00
Solanum indicum L.,-,Solanaceae,https://mpbd.cu.ac.bd/plants.php?pageno=9,2026-09-22T15:47:59.212004+00:00
Ipomoea nil (L.) Roth,Batatas setosa (Ker Gawl.) Lindl. Convolvulus nil L. Gomphipus setosus (Ker Gawl.) Raf. Ipomoea hed,Convolvulaceae,https://mpbd.cu.ac.bd/plants.php?pageno=9,2026-09-22T15:47:59.212004+00:00
Gmelina arborea Roxb.,Gmelina arboreavar.canescens Haines Gmelina arborea var.glaucescens C.B.Clarke Gmelina sinuata Link,Verbenaceae,https://mpbd.cu.ac.bd/plants.php?pageno=9,2026-09-22T15:47:59.212004+00:00
Premna serratifolia L..,Premna integrifolia L.(illegitimate) Cornutia corymbosa Burm.f. Gumira truncata (Turcz.) Kuntze Pre,Lamiaceae,https://mpbd.cu.ac.bd/plants.php?pageno=9,2026-09-22T15:47:59.212004+00:00
