plant_index,compound_name_original,pubchem_cid_original,match_type,drop_reason
872,"Silane, cyclohexyldimethoxymethyl",,no_match,unresolved_script01_no_match
872,"Silane,cyclohexyl dimethoxy methyl",,no_match,unresolved_script01_no_match
872,Silikonfett se30 (grevels),,no_match,unresolved_script01_no_match
872,"Tetramethylhexadeca- 1,6,I 0, 14-tetraen-3-o l",,no_match,unresolved_script01_no_match
872,"l ,30-Triacontanediol",,no_match,unresolved_script01_no_match
872,"l ,40-Tetracontaned iol",,no_match,unresolved_script01_no_match
872,n-Amyrin acetate,,no_match,unresolved_script01_no_match
872,n-Ecosane,,no_match,unresolved_script01_no_match
872,n-Hen icosane,,no_match,unresolved_script01_no_match
872,n-Henicosane,,no_match,unresolved_script01_no_match
872,"n-Octadecanoicacid, methyl ester",,no_match,unresolved_script01_no_match
872,trans-Squalcne,,no_match,unresolved_script01_no_match
874,Ar-dihydro-turmerone,,no_match,unresolved_script01_no_match
874,Germichrysone,,no_match,unresolved_script01_no_match
874,Occidentalol I,,no_match,unresolved_script01_no_match
874,Occidentalol II,,no_match,unresolved_script01_no_match
874,Potassium chelidonate,,no_match,unresolved_script01_no_match
875,"1,2,6-Trihydroxy-7,8-dimethoxy-3-methylanthracene-9,10-dione",,no_match,unresolved_script01_no_match
878,"(+)-3-Caren, 2-alpha-isopropenyl-",,no_match,unresolved_script01_no_match
878,"(3aR,4R,7R)-1,4,9,9-Tetramethyl-3,4,5,6,7,8-hexahydro-2H-",,no_match,unresolved_script01_no_match
878,"1,2-Benzenedicarboxylic acid, bis(2-methyl propyl) ester",,no_match,unresolved_script01_no_match
878,"1H-Cycloprop[e]azulene, 31a,2,3,4,4a,5,6,7b-octa",,no_match,unresolved_script01_no_match
878,"2,20-Cycloaspidospermidine -3-carboxylic acid vindolinine",,no_match,unresolved_script01_no_match
878,"2,20-Cycloaspidospermidine-3-carboxylic acid",,no_match,unresolved_script01_no_match
878,2-Methyl-9-á-d- ribofuranosylhypoxanthine,,no_match,unresolved_script01_no_match
878,"3 ?-D-Glucopyranoside, O-?-D-glucopyranosyl-(1.fwdarw.3)-ß-d-fru",,skipped_encoding_loss,unresolved_script01_skipped_encoding_loss
878,"3,4,4-trimethylcyclohexa-2-en-1-ol",,no_match,unresolved_script01_no_match
878,"30,50-Dimethoxyacetophenone",,no_match,unresolved_script01_no_match
878,"9,10 Anthraquinone",,no_match,unresolved_script01_no_match
878,Aspidospermidine-3-carboxylic acid,,no_match,unresolved_script01_no_match
878,Aspidospermidine-3-carboxylic acid vindoline,,no_match,unresolved_script01_no_match
878,"Aspidospermidine-3-carboxylic acid,",,no_match,unresolved_script01_no_match
878,Aspidospermidine-3-carboxylic acidvindoline,,no_match,unresolved_script01_no_match
878,"Dodecane, 1,10 -oxybis-",,no_match,unresolved_script01_no_match
878,"L-Glutamine,N2 [(phenyl methoxy)carbonyl]-",,no_match,unresolved_script01_no_match
878,"O,N-Permethylated N-Acetyllysine",,no_match,unresolved_script01_no_match
878,"alpha-D-Glucopyranoside,O-alpha-Dglucopyranosyl-(1.fwdarw.3)-beta-d-fru",,no_match,unresolved_script01_no_match
883,Isoamaranthin,,no_match,unresolved_script01_no_match
894,Eucryphin,274911633,CID-based,empty_smiles
897,18Z-pentadecosenoic acid,,no_match,unresolved_script01_no_match
897,Resveratol 3-O-glucoside,,no_match,unresolved_script01_no_match
906,(Epi) catechin trimer with double A linkage,,no_match,unresolved_script01_no_match
906,(Epi)catechin trimer A type (EC-A-EC-EC),,no_match,unresolved_script01_no_match
906,(Epi)gallocatechin- (epi)catechin,,no_match,unresolved_script01_no_match
906,(Epi)gallocatechin-O-caffeate,,no_match,unresolved_script01_no_match
906,2- Hydroxyhydrocinnamic acid,,no_match,unresolved_script01_no_match
906,"9-Hydroxy-12,14,16- octadecatrienoic acid",,no_match,unresolved_script01_no_match
906,Arachidinic acid I,,no_match,unresolved_script01_no_match
906,Arachidinic acid II,,no_match,unresolved_script01_no_match
906,Behenamide I,,no_match,unresolved_script01_no_match
906,Behenamide II,,no_match,unresolved_script01_no_match
906,Ceriporic acid I,,no_match,unresolved_script01_no_match
906,Ceriporic acid II,,no_match,unresolved_script01_no_match
906,Ceriporic acid III,,no_match,unresolved_script01_no_match
906,Cinnakotolactone,,no_match,unresolved_script01_no_match
906,Cinnamaldehyde I,,no_match,unresolved_script01_no_match
906,Cinnamaldehyde II,,no_match,unresolved_script01_no_match
906,Cinnamyl alcohol II,,no_match,unresolved_script01_no_match
906,Cinnamyl-O-hexoside,,no_match,unresolved_script01_no_match
906,Decenedioic acid II,,no_match,unresolved_script01_no_match
906,Dihydro coumaroyl-O-hexoside (Dihydomelilotoside),,no_match,unresolved_script01_no_match
906,Dihydrocinnacasside (HydroxyphenylpropanoyO-hexoside),,no_match,unresolved_script01_no_match
906,Dihydrocinnacasside pentoside,,no_match,unresolved_script01_no_match
906,Dihydroxy-tetramethoxy-epoxylignanolone,,no_match,unresolved_script01_no_match
906,Dihydroxyoctadecadienoic acid I,,no_match,unresolved_script01_no_match
906,Dihydroxyoctadecadienoic acid II,,no_match,unresolved_script01_no_match
906,Dihydroxyoctadecadienoic acid III,,no_match,unresolved_script01_no_match
906,Dimethoxyphenol-O-pentosyl hexoside,,no_match,unresolved_script01_no_match
906,Dodecanedioic acid II,,no_match,unresolved_script01_no_match
906,Dodecenedioic acid I,,no_match,unresolved_script01_no_match
906,Eicosadienoic acid I,,no_match,unresolved_script01_no_match
906,Eicosadienoic acid II,,no_match,unresolved_script01_no_match
906,Erucamide I,,no_match,unresolved_script01_no_match
906,Erucamide II,,no_match,unresolved_script01_no_match
906,Heptadecanamide I,,no_match,unresolved_script01_no_match
906,Heptadecanamide II,,no_match,unresolved_script01_no_match
906,Heptadecanamide III,,no_match,unresolved_script01_no_match
906,Heptadecanedioic acid I,,no_match,unresolved_script01_no_match
906,Heptadecanedioic acid II,,no_match,unresolved_script01_no_match
906,Heptadecanoic acid I,,no_match,unresolved_script01_no_match
906,Heptadecenoic acid I,,no_match,unresolved_script01_no_match
906,Heptadecenoic acid II,,no_match,unresolved_script01_no_match
906,Hydroxy-dimethoxy epoxy-neolignene diolethyl ether,,no_match,unresolved_script01_no_match
906,Hydroxyhexadecanoic acid I,,no_match,unresolved_script01_no_match
906,Hydroxyhexadecanoic acid II,,no_match,unresolved_script01_no_match
906,Hydroxyhexadecenoic acid I,,no_match,unresolved_script01_no_match
906,Hydroxyhexadecenoic acid II,,no_match,unresolved_script01_no_match
906,Hydroxyhexadecenoic acid III,,no_match,unresolved_script01_no_match
906,Hydroxyoctadecatrieno ic acid I,,no_match,unresolved_script01_no_match
906,Hydroxyoctadecatrienoic acid II,,no_match,unresolved_script01_no_match
906,Hydroxyoctadecatrienoic acid III,,no_match,unresolved_script01_no_match
906,Hydroxystearidonic acid I,,no_match,unresolved_script01_no_match
906,Hydroxystearidonic acid II,,no_match,unresolved_script01_no_match
906,Hydroxystearidonic acid III,,no_match,unresolved_script01_no_match
906,Hydroxystearidonic acid IV,,no_match,unresolved_script01_no_match
906,Hydroxyundecanedioic acid,,no_match,unresolved_script01_no_match
906,Inonone,,no_match,unresolved_script01_no_match
906,Isorhamnetin-Opentosyldeoxyhexoside,,no_match,unresolved_script01_no_match
906,Linoleamide I,,no_match,unresolved_script01_no_match
